,content,sentiment
78,i be worry great job quite nice way spend day,happiness
79,see tweet couple week ago hashtag want contribute since huge mitch fan,worry
80,get home dinner really really full mom say dad buy sony a200k holy,happiness
81,nyappy mothers day mom,worry
82,hiatus like really long boo,neutral
83,thanx,neutral
84,picture wo update,worry
85,finished bit sketch writing,neutral
86,hun yes yes,neutral
87,drinking cup ice chocolate,neutral
88,someone hate,hate
89,look miss couple hour i be sorry ill let know next time,worry
90,visit grandparent manhattan dropping sister week wish excuse tired today,fun
91,help computer virus place etsy shop vacation mode sort know,worry
92,study bullshit econ test,anger
93,get new double yellow volkswagen beetle happy star wars day,fun
94,liesgirlstell guy call phone see number real ohh phone working try tomorrow,worry
95,always want perfect hard cause even know impossible,hate
96,ds version suck,sadness
97,lovely profile website neat love gary ticker,love
98,3 hrs go pa ako,sadness
99,go funeral today friend classmate die car wreck last friday,sadness
100,soo happy today go home bit suck meet everyone aceness extreme lol cheesy p,love
101,ok point take ill tell team stop cynical championing standard activex far better anyway,sadness
102,happy imma get see lovely lady,happiness
103,true,neutral
104,see amazing hel big,sadness
105,dbag stole bike,neutral
106,thank greet,surprise
107,gha work hopefully traffic clear time get,worry
108,make cuppa coffe,empty
109,hope pic share hope monday rough today,enthusiasm
110,ooh nice well guess nice moment windy rainy like rain,worry
111,work logo photoshop work hehe try lah,worry
112,haha good bet,happiness
113,bif love buliding,love
114,get pay nowhere near much thought would,sadness
115,work bank holiday mind good fun,worry
116,cat die kidney failure math test day need get well,sadness
117,wish outside that s thing that s gon na kill work day everyday summer,sadness
118,izzy sorry hear disaster,sadness
119,yeah that s everything become difficult generalisation break easy problem,worry
120,hey bow yu comin baxx 2 thaa 614 miss yu hun 614 day,worry
121,miss answer i be nth time make sad whenever i be time always,sadness
122,back kill stupid softball,sadness
123,person stand world full spineless cunt make sad,sadness
124,ask everyone please join pray mom get home er go see heart doctor,worry
125,hello lovely follower love peace house lolz need weather,love
126,work fine,surprise
127,need remember datum customer enter previous page use back button many,neutral
128,wassup u morning,neutral
129,sun change default icon what be plan,love
130,workie dad aw suck work saturday morning i be study exam,sadness
131,oh boo see bar well miss ill make pt stop,sadness
132,what s matter,empty
133,happy come say hi twas nice meet indeed thank much come talk,happiness
134,never answer wath say,hate
135,clock possibly last time northview middle school,neutral
136,wish ro feel well,fun
137,time play,neutral
138,call do final tell,surprise
139,thx 4 sharing,neutral
140,prepare visit friend gon na watch twilight yay,relief
141,ah seriously do not even work child still sick groundhog friday get bad,worry
142,miss,love
143,great friend mine ill let know play next come along whatever like,neutral
144,scratchy scratchy throat warm fluid need,worry
145,head work friday,sadness
146,know text,worry
147,awesome,fun
148,rock guy world night make pancake next morning,neutral
149,hey member well friend anthony pretty sweet ha way trader weiner,worry
150,kiss kiss stu deezy bed sweet dreams maam hehe xxoxo,love
151,miss someonee,sadness
152,relax,relief
153,oh jonas brothers 3d movie come next week kangaroo land miss,neutral
154,today goal tweet work i be good start have not leave house yet welcome new follower hope bore yet,happiness
155,hey get present morning hope u like,fun
156,hope feel well way soon,enthusiasm
157,,neutral
158,great day massage book appointment today 617262 20,fun
159,sorry invitingall single woman think,worry
160,decide wolf future star trek logo game would much cool chewy star war,empty
161,get 2 hour sleep,neutral
162,think go enjoy beautyy nature maybe sit anywhere write little try finish last pic,fun
163,upgraded,neutral
164,find rollo get happy hm guess really need insert back matrix 0o,happiness
165,sunny walk round lake morning meet mother goose father goose five baby gosling,fun
166,drinkin chai tea sleep checkin cool peep,worry
167,dude try vegetarian thing last 2 month good luck go vegan intense good move though,fun
168,ditched school hate i be take huge dump hurt real bad,love
169,get poor thing gon na choice much longer though,sadness
170,omg kool i be road,worry
171,lonely time,sadness
172,good morning mommies happy mothers day pull cat tail know like,happiness
173,history project,worry
174,windows livewriter accessible guess answer,neutral
175,search wavy hairstyle,neutral
176,photography class summer cancel go somewhere do not want miss spring game email eric swist,sadness
177,sleep wake check see cold hot love mom,love
178,totally i have waitin something new thought provoke mjname,surprise
179,go actually read least sign fair,worry
180,comp slo w,worry
181,cat fall bed lmfao bless get fright xx,worry
182,yeh little,neutral
183,hi 5 friend um thank follow enjoy ride make many trip u u get ta go get,happiness
184,like dr seuss quote know love ca fall asleep reality finally well dream,love
185,por favor need five httptinyurlcomdzcpg3,enthusiasm
186,ok one hour i be still wait i be lose patience,boredom
187,do not like funeral,sadness
188,next birthday mother day favorite day year one day feel guilty slack little ahh,relief
189,feel well hon,worry
190,ca believe hannah dead hollyoak,surprise
191,hahaha massive compare other sweet scenie,happiness
192,send love respect mommy twitterverse inspire,love
193,sit thru boring bit titanic wait good bit start couple hour,worry
194,hope everyone great week let know think i be crazy hate coffee xd,surprise
195,bad time,worry
196,feel good win nice softball champ bring season,surprise
197,fake hahaha kid,happiness
198,day new beginning,relief
199,ohh i be watch good friend wed sad,sadness
200,oh take sign error page,relief
201,toast baked bean sandwich red wine perfect sunday night dinner combination,happiness
202,really want go old friend party tonight fakeflu alcohol probably wo mix well,worry
203,town uncle gabriel come miss gabe tempt ask go back baton rouge stay side fam,sadness
204,happy mothers day,neutral
205,good morninghoping throw back coffee like right,happiness
206,like plane train automobile good luck juan pelota,fun
207,dat dude look crazy w dat hair face lmao stop old wrestler go tna thank vince dudes clowns lol,surprise
208,dane cook sports arena tonight wish ticket,sadness
209,wanted see story acorn tonight glen beck miss,sadness
210,ur performance love sex magic awesome,worry
211,juz register cp twitter tweet will not go thru argh hmm wan na follow idol lyk away pc,worry
212,early,neutral
213,fish chip din din,neutral
214,eat lunch can not wait till 6 work get ta work tomorrow,neutral
215,oh yeah come back weekend cosplay photo marathon,neutral
216,dear macpro i be try awake httptwitpiccom67orb,neutral
217,wish could give big hug right i be sorry ca imagine painful must,worry
218,want honorary filipino ill follow thank,happiness
219,happy star wars day may 4th nice get holiday celebrate fb,fun
220,what s wrong drphil shamefully love show able watch,boredom
221,see new star trek movie yesterday twas good quiet day today gym lunch,love
222,think today possible 2 play kol,relief
223,morning bless day,love
224,see love club actually make,relief
225,do not cry see u tomorrow muah,fun
226,yes oh go bed minor soap marathon photo editing night 4 oh inn lake nice food,happiness
227,showered struggle drive get door i be gloomy miss sway,worry
228,have bad weed first wisdom tooth run weed may get sick weed,worry
229,look like another culinary success sarah,worry
230,three broody one atm china egg keep happy ish,love
231,causee everyone pass challenge test duh,worry
232,left home httpmylocme21cn,neutral
233,windy rainy day,neutral
234,ha nothing man right mother day except take kid mum hand whole day,neutral
235,talk dii miss terribly,worry
236,day 26 town wish could catch show already plan go figure,worry
237,feel headache grow,worry
238,he s makeup year long tyra steal away us,neutral
239,yummy curry save please lol,enthusiasm
240,promise 150,sadness
241,worth,relief
242,wow cute pic,surprise
243,try tweetdeck see twitter programme thought give try,neutral
244,stranded delhi airport flight delay,worry
245,fan bulmer magner pear awesome want slush puppy though hurryup classy omgimpatient,fun
246,oks yes infact chat earlier n00bin well,neutral
247,nothing better go chinese supperinn fave cousin 1 a.m.,happiness
248,oh hate happen transfer university hell time transfer credit lose,worry
249,whoa twilight board game ahaha,fun
250,bandwidth limit exceed website,neutral
251,ca seem find send please oh tag lol,sadness
252,like old ruby good,love
253,great night,love
254,twittascope rock sock go away already,neutral
255,i be ok 15 year old go 35 drive crazy come territory guess,worry
256,buff guyunfortunatly alot people do not know dannys name either sad sophie sweet,sadness
257,sniff sniff want thie app iphone america free anime game show iphone win uk,surprise
258,great avatar,enthusiasm
259,party aber subway alle httpyfrogcom0ayzyj,empty
260,sick chill tonight watch desperate housewife,sadness
261,happiness like pee pantsnobody see feel warm sensation,neutral
262,thank sigjeans,relief
263,oh can not fun hell man look like get shit do today,enthusiasm
264,nah really gradually ptfe tape go 01 mm time i have year love x,fun
265,6moredays 6moredays yayyay take nearly finish better good,happiness
266,thank follow,neutral
267,new resign cricinfo hate change,hate
268,really incredibly gross outside i be hope get alot do int house today include pics blog morning friend,worry
269,send u dms hollaback,neutral
270,record john mayer freak cool,surprise
271,way wildomar ca tow lexus,neutral
272,look like get cloudy outside nothing tonight boo friday,empty
273,aw thas good i be glad happy jus chillin,love
274,hate traffic,worry
275,enjoy night folk,neutral
276,think texte i have read lol figured html,neutral
277,san francisco traffic light hate,empty
278,look insane view hollyweirdin alter state,neutral
279,sad young love come end cute together,surprise
280,omega tomorrow really plan anything make sure come it will awesome movein june 1st,happiness
281,yeah think ahaha,happiness
282,damn totally gutted decide go tonight roni size djing,hate
283,bed good last saturday ec i be gon na miss place ca wait til summer,fun
284,thank quiet lately,love
285,thought may interested see who s view photo,worry
286,yesterday today weekendback work 2moro,fun
287,want cookies breakfast luckily i be adult,happiness
288,day cellstorm like,happiness
289,aw poor draw hope feel better krush,relief
290,god mornin tweep go awesome monday already tell even 8 a.m. inbox clean,surprise
291,easy happy mother day great mom,love
292,well tonight would good time watch,worry
293,fight nagio configuration great tool config bit labour,empty
294,bit devastate lose entire document folder home computer,worry
295,may keep shelf rest old camera,neutral
296,i be extremely hungry thing house soup like soup pout,worry
297,warm wet spend day carpet clean yacht,sadness
298,need go i be bore,boredom
299,aww sorry boo buy printer 4 year canon i900d still make amazing print zero fisheye exp,worry
300,oh no xbox 360 badge holder break bellevue wa httplooptuscjn5vat,neutral
301,eat cadburys dairy milk giant chocolate button say one square dark chocolate satisfy lying,neutral
302,happy mothers day,love
303,e jealous sia do not get se,surprise
304,teehee i be glad entertain ye,neutral
305,macabre hard believe drop real nuclear weapon real japanese human warisfucke,sadness
306,try edit page could add name pop list please,worry
307,know use love show happy weekend,happiness
308,happy mothers day good mommy world,love
309,goodness another hit another run,hate
310,beer whiskey awesomness work 8 hour sourness,neutral
311,go know taylor dolton jacob chris sister,neutral
312,wan na go,neutral
313,feel like junkie live chronic pain disorder fentanyl morphin nice really suck,worry
314,like like 9 cause i be babysitting haha call cause i be kinda bore right,enthusiasm
315,must night nightmare evening still sick never gon na get well w sleep,worry
316,hates sit around alone friday night big sad old loser,neutral
317,get right think obsess hyde voice i have choose guitar song learn summer time perfect picking,fun
318,new project go incredibly well i be tired today think get monday permanently,happiness
319,patchouli oil incense surge popularity 1960s 1970 mostly among devotee free love hippie lifestyle,neutral
320,come work w rag head,hate
321,drive mazda rx8 today boy car fun sadly though find car much fun,worry
322,aww read tweet i be sure later either work feel us,neutral
323,wan na watch badly,sadness
324,actually get bit tan today haha sadly work weekend wo get chance enjoy glorious sunray boo,happiness
325,hate car place jx,sadness
326,do not depress motherinlaw staying weekend someone else wait kid,sadness
327,well praise lord 4 gud mood kno need 2 b 1 i be workn thigh dark cloud scare,worry
328,neither longer want fairness fairness whatever government say,empty
329,get wii,neutral
330,fo shizzle i be bore wan na go something wish go pisay today oh wellz wonder,boredom
331,terence cao overdose i be fainting,worry
332,thank,happiness
333,wow bed comfy nap much short get work want,sadness
334,mann idea hp c adapter worth like eighty buck wine gon na till use lap top,neutral
335,oh forgot happy star wars day may fourth,happiness
336,geocachingcom seem huge delay deliver pocket query,neutral
337,try figure twitter thing i be quite excited,happiness
338,late,neutral
339,superstar mean,worry
340,surely vote,love
341,post world pinhole day love picture httptwitpiccom4jb4d,enthusiasm
342,oh need update sudden ok get dress anyway,worry
343,lol mean hey that s mean,worry
344,yeah know mean 1st season get hooked watch case something big happen,fun
345,i be mad be not scarey,surprise
346,chillin tonight least,neutral
347,do dentist november,relief
348,last real seventh hour,relief
349,friend get mug morning,sadness
350,glad know guy get safe great show tonight wish could,neutral
351,,neutral
352,do not get pay week roll tuesday,sadness
353,tired go take nap finger hurt 143,sadness
354,bedsorta today good sara strep think angelina share water b4 tell prob get,enthusiasm
355,mask nonexistent mo charis send one bothered make one i be wear boy clothe,worry
356,maxin relaxin almost bed time,empty
357,say find hard selling etsy sometimes discourage,worry
358,i be trying figure earth suppose able update status via phone someone help,worry
359,union square somerville better 87 probably help zero point though,neutral
360,try draw manga anime new website bad idea httpbitlyk6iov,hate
361,awh sorry well glad closer us though,sadness
362,book appointment give blood 1820 pm 2nd june scare,surprise
363,oh fack u give police that s seriouse shit,worry
364,finish first workout jillian michael 30day make cut program feel great hopefully eat good,relief
365,sign mom day tomorrow,love
366,omg hahaha think joking twitter hahaha awesome good time,happiness
367,go church god bless,love
368,hittin ole dusty trail w miss morgan,worry
369,thx webdu conf thur,happiness
370,make bring u sum,worry
371,hey never realize also get twitt account guide truly many time lifesaver,worry
372,missed wbc counterprotest probably go waterfire ben yay,worry
373,hm go sleep 6 saturday work watch 2 episode one tree hill one tree hill think,neutral
374,come bak dancing neew cd haha i be dancing,worry
375,would panic little maybe read orbitron gym like dowhen else fail,surprise
376,shake fucking head much fucking homework accord urban dictionary,empty
377,gymnastic time last night teach friday evening class new summer schedule start next week,neutral
378,good hear get bit tan today unheard pasty white time mostly freckle,love
379,aw sweetie hope mom wonderful mothers day,happiness
380,look like yet another beautiful day london,happiness
381,i be still think idk,neutral
382,happy mothers day 3,neutral
383,tweet postcard butless easily retrievable archived email save machine,neutral
384,page 6 ms twitterworld 26 vote,neutral
385,ooc okay maybe schedule work soon,relief
386,ill take lookie sound great,happiness
387,wait go movie later 6th month bore,boredom
388,well that s way start day,sadness
389,i have get isabel get food,enthusiasm
390,leg kill know good pain,worry
391,sound like fun,neutral
392,aw kitty best,surprise
393,yoga school could better,happiness
394,sorry dunner see tweet totally let i be sorry babe work till 830 bo,worry
395,tnx follow look forward tweet,happiness
396,week drag bit essay write seaside i be see eddie izzard tonight x,neutral
397,since obviously live alaska radio station get,neutral
398,white shoe make cringe white shoe give pause,hate
399,like,neutral
400,happy mothers day mom special shout mommaluv ya pateven though jehovah witness,love
401,feel like romeo juliet bryant wallinwood montagues capulet fb,happiness
402,say goodbye something familiar never become familiar,worry
403,thank carry craziness,happiness
404,vote board month may 2009 licensed member good luck everybody,neutral
405,spose go party tonight gue i be sick gr,worry
406,happy mothers day,love
407,spend wonderful mother day brad mom dad happy mothers day mom,love
408,eat really good ice cream,happiness
409,sure would like cream right,fun
410,thnx 4the support girl ppl b like ooh u say ca say something honestly feel u know,neutral
411,i be sleep accept appology,hate
412,anyone get jbs live chat vid school see joe hug tackle nick lol,neutral
413,worry use always give grief usually take well nearly always,worry
414,stop follow cool enough,worry
415,gr hate make careless mistake doc give partner,worry
416,ur poopy head,hate
417,valium make feel god need ca fall back asleep want mommy,worry
418,lucky kid wan na see loserville pity i be oz,fun
419,launch twittix v1 10 convinced,hate
420,forget calculator physics oh well class allmost 3,worry
421,wait line tryst,boredom
422,lol,worry
423,welcome network buddy,enthusiasm
424,supernatural back tonight,happiness
425,sorry hear,surprise
426,fun tomorrow night think fun bar art gallery wish could,neutral
427,ugh n33d t0g0 bad,worry
428,someone horse btw hubb feel twitt he s name party,surprise
429,know wrong maybe should not fuckin thing like,hate
430,good night fellow twitterati back work tomorrow,worry
431,bank holiday brunch fixin absolutely fantastic,love
432,happy monday well great festival weekend lot soap make order put,love
433,anticipation make cup tea i be agree must happen awesome,love
434,wish get fij,sadness
435,omg ca believe jay leno go air,surprise
436,i be go home see new twitter design quiteheavenly,happiness
437,thank amy full hotness,happiness
438,fml bad paper cut knuckle paper handle hat damn research paper,hate
439,anyone super nintendo controller want sell mine break,love
440,miss give away ttc code,sadness
441,nothing could get bad could think i would verge kill someone else thing good anymore,sadness
442,second,neutral
443,aw thanks jon 9yr old tell sleep clean house good mom day present ever,relief
444,name chad wo tomorrow,neutral
445,get temporary tattoo would totally sad die,worry
446,10 yearold girl battle rare breast cancer httpbitlyjpe9c,neutral
447,love koda cute guy common,worry
448,there s nothing like pillow,worry
449,ca wait tomorrow finally bittersweet sure,happiness
450,haha stay nearly 2 hour coach get may convenient hour tv,sadness
451,eat sleep draw part neuroanatomy takehome test part neuro httpbitlyfxs3l,love
452,second wind home time,neutral
453,forehead start peel impress,neutral
454,people house know close door,worry
455,ooh like horseradish alternative,neutral
456,awh u stick traffic bo,surprise
457,build radio studio go podcast foundation call insight foundation,happiness
458,i be sad really really sad,sadness
459,get new fan time one november,fun
460,wan na vote miley cyrus mtv movie award know could somebody could send link thaank 3,relief
461,wonder come mcdonald take long deliver food,sadness
462,checkout linekate jon splash us weekly sad,sadness
463,haha sometimes mobile make us slave advantage,neutral
464,that s stuff steal go,surprise
465,write fanfic read,happiness
466,run past couple day due bad knee still guitar hero metallica arrive keep amusedtime rock,sadness
467,hulu desktop look nice region,sadness
468,bom dia frio que del cia good luck first day ju,love
469,storysize 2 post short story one liner show news friend see wall,neutral
470,excellent that s always win i be deal small clique passiveaggressive resistant manager,empty
471,u r happiness pollinator 4 shizzle good friend smile,relief
472,break daily build broke daily plan well,empty
473,love love tease baby end bo still luv tho,love
474,wish could go blogge bootcamp knoxville come week i be close yet far,worry
475,hahaha sa una lang yan start 40 minute ng 5k year ago,neutral
476,ms wees wedding,surprise
477,see guess must lots hawks fan texas twitter,neutral
478,would vote miley live ireland fine good luck sl n bye irish sorcha x,relief
479,thank followfriday hun,surprise
480,problem look forward next tweet,neutral
481,add dunkin donut menu,neutral
482,u win u always roll pass lol anyone take,neutral
483,hannah sleep last night give 500 bottle go right back sleep i be lol,neutral
484,bump dj opus drunk car lmao act like u know,fun
485,thank,happiness
486,think everyone hate lol,love
487,philosophical mood tonight wander round dark,sadness
488,that s u go weekend,neutral
489,there s huge bulldyke eyein,surprise
490,anything brian,worry
491,oh woverheardinlondoncouk other new york version,neutral
492,look old stuff find record old band well band month ever hear,sadness
493,everything lousy,neutral
494,want summer sprinkle still,fun
495,hey welcome va lol muggy dc bad part summer i would say,happiness
496,cold raining inglewood,neutral
497,woof wish allow go,sadness
498,nope back 8weeks sigh,neutral
499,damnthe right side earphone stop work sudden need buy new one,sadness
500,juice miss juice fruit,surprise
501,2 seasons xfiles watch,neutral
502,nursing sore back today,neutral
503,yes last way past bedtime,fun
504,ah haha thank clarify,fun
505,really send get internal email,worry
506,ca sleep i be watch gilmore girl,neutral
507,6,empty
508,get instant sad face see little kid lose balloon,sadness
509,watchin gilmore girlz,neutral
510,,fun
511,yess awesomee u follow ur love molly hahah u chat us,happiness
512,stupid idiot run stop se almost kill car,hate
513,tehe 9th,neutral
514,fair,neutral
515,love gossip girl episode 23 wrath con,love
516,get although religious thing think ill let one slip,neutral
517,mccoys initial rant,neutral
518,elephant lol try paint back,happiness
519,another late night score mojito,neutral
520,i be sorry darle anything,worry
521,flight hurghada delay 7 hour,worry
522,ill try silly silly tweetdeck mean,worry
523,broke carafe go starbucks caffiene fix light go outjust sec kidding get laugh ha,happiness
524,hm new search bar twitter,empty
525,little bit upset ppl jerk,worry
526,poope pennsylvania rest stop hate use public toilet,fun
527,jus wake late runnin work student train,neutral
528,feel like throw,boredom
529,pretty lady happy mothers day mother future soninlaw,love
530,unreall httptwitpiccom66nvm,fun
531,boo rabbit piss people know,worry
532,see new city last tuesday amazing show ticket tomorrow show may able make,fun
533,twitter act weird,worry
534,thank yes yes hooray,happiness
535,beautiful day i be work leave get sun though,sadness
536,record eqpmnt full day 2 mind go blank outfit gay still nt arrive eitha,sadness
537,finally leave place woohoo school time,happiness
538,love,worry
539,lmfao fucking love show,love
540,stoped follow ama really need clean break another note kate super nice right work,neutral
541,today weigh lose 12 pound week depressing,sadness
542,ugh realize completely redo tweetdeck group pain computer wipe clean,worry
543,good good could,happiness
544,yeahh love addie supportive s3 epi 4 addie like der do not hurt,love
545,hate dream awesome party wake home jager party,worry
546,thank definition throwbie editor review entry decide publish,neutral
547,excited empty apartment little,surprise
548,yes love disneyand still hahahow karazy i have never disneyblah,love
549,one kit bring mouse eating lobby i be sure feed enough,worry
550,do clean take breakomg back hurt,sadness
551,ahh hate sick watch atonement sleep,hate
552,look nothing like twitt avatar,hate
553,already get shoot show prove,worry
554,do not put behind wheel lmfao today fun,neutral
555,happy mothers day ugh sickschool tomorrow watch e news keep kardashians dreamgirls,sadness
556,itlesson school eating salad,empty
557,browse find everything university interior design,neutral
558,walk water annapolis froyo shoe,surprise
559,wow sunny day recover erase file,happiness
560,i be bore untill go,sadness
561,oh chris sorry mr raccoon obviously female cuz female specie would adore hugs angel,neutral
562,boo i be lonely bore,empty
563,want go bocum tottal see lostalone passport dam poorness,worry
564,i be guess belt thing nogo since hear back sorry stop weekend well talk bout ring etc,worry
565,watch ocean 11 vegas seem appropriate,neutral
566,congratulation,neutral
567,play pacman box achvs take gs exactly 470nice,happiness
568,littleren lovely lovely nice,love
569,tired glad bank holiday,empty
570,i be back twitter,neutral
571,lovely mothers day,love
572,prom rate irritated go bed goodnight,boredom
573,stellar 2 look great,happiness
574,hahah u know man trust i be going to freak proud,happiness
575,lifetime movie lame that s q,worry
576,enjoy coffee super delicious cookie,love
577,ill try best,worry
578,ishra haha cassie ventura haircut yesterday beat music award,fun
579,unemployment office suck,hate
580,think he s gangster ass even fit g unit know,happiness
581,i be chicken,neutral
582,mothers day somewhere httptinysongcomkov,neutral
583,want ben jerrys lol tweet people i be bore,sadness
584,omg sister get brother jonas brother lookalike trenchcoat i be like jonas style tell shutup no1 likes,surprise
585,lol cards wrong,hate
586,hope rerun nerdprom later sound like they be lot fun thank playbyplay,happiness
587,barg post gmod birthday see,sadness
588,longer seem app store,neutral
589,they be hungry,worry
590,kind excited go school today do not know hopefully good day,happiness
591,201th update,neutral
592,i have nudge much go lately umped game wknd take one pill,sadness
593,cute girl finish timing fool 1 editing stage wait spot translation,relief
594,welcome wonderful day stayin outta trouble ready crash party lol,happiness
595,go wedding afternoon,neutral
596,know get ta wait earl 2010 think late 2009 wrong,neutral
597,squabble people internet great tumblarity bad ego internet friend,worry
598,fun far nothing like festival altho cider afternoon one,fun
599,host next logie laugh bit really,happiness
600,want follower,neutral
601,yep one night,empty
602,think something well view tight budget,worry
603,i be oh bored buut almost 2 day til leave france,enthusiasm
604,come friday teach,neutral
605,diggin moustachio look good daddio,surprise
606,may cancel disney trip year thrill,happiness
607,nice meet good know another one follower actually speak,happiness
608,sun believe,neutral
609,try straighten hair eff hot also need food,sadness
610,head sam adams brewery ca sample get,relief
611,feel great,happiness
612,oh dear boyle stay,neutral
613,gon na iphone full,worry
614,go get dog vet they have stitch ear charge us still bleed like waterfall everytime move,worry
615,friday i be sick story life,worry
616,ok find way think tonight let let go dance time,happiness
617,eff tired httpbitlye0zfz,sadness
618,leg still numb journey atlantis coldness awesome day,happiness
619,love head heel one fave movie look stunning last night,love
620,iono guess i be get l8r twit,worry
621,throat infection come strong think taste blood,worry
622,head dmv pay hardearne money,sadness
623,he s mess ilove,love
624,sadfound otu boot camp late oh well may la day anyway,worry
625,aww since mother day,love
626,roll thursday,neutral
627,fully grabbyhand bad candy thank 3 how s,hate
628,omfg alright,worry
629,lot hell yeah rebel meet rebel dac pantera like 10 pantera song ca find cowboy hell cd,worry
630,ah 15 month i be sure advanced biased seem grow fast day sound old,sadness
631,yeah guess password also change able login fb cahnge pw uf,worry
632,think tonight could go perfect,worry
633,many thing think prepare marathon aye dio,worry
634,thank guy 200 follower,happiness
635,neighborhood research today day 1 5and little bit shopping,neutral
636,ca mean without,neutral
637,dishes miss kitchen team,sadness
638,i have give 1999 question think u may right one host provide hd quality viewer maybe,neutral
639,limo rides city dinner cruise harbour makeovers foot back massage yay hope fella get,happiness
640,thank u much lil mama xoxo,relief
641,ew exam next week do not think ah,neutral
642,go athletics carnival today tired tired hurt back jump second time high jump,sadness
643,please help get song head,sadness
644,morning smile smugly oneself anyone join,fun
645,i be sure toastie far behind,neutral
646,paris 2moro packill wake 8 yes dance lesson 9,neutral
647,love metal gear solid 4 valkyria chronicle,love
648,happy mothers day fave celeb follow,love
649,want info ecomonday check follow like followfriday green monday,happiness
650,um kid say fucker like minute gparent due show everyone know mom potty mouth,worry
651,ah remember day sleep noon well guess today god feel like loser,sadness
652,wish reply us july utterly amazing,surprise
653,buy mach 6 httptinyurlcomq9fyuf,neutral
654,well ether buy dvd wailt till july see secret episode episode 13,enthusiasm
655,i be still newbie do not know would without twitter,worry
656,still work music gradesoutside decksun behind big gray cloud,neutral
657,sigh still seos submit client site part contact information really know make read,worry
658,propellerhead harddrive long get music repo back shape feel nostalgic,happiness
659,confused day glad back lillestr,worry
660,exactly that s first time see reply jon never go oh fun new phone,happiness
661,def rubbish tonight,neutral
