content,sentiment
morniie twitter eat cereale watch blg dvd like every sunday morning i12,happiness
ajaedandridge eat pussy refuse bless cuz already clingy,worry
lcflorida jpmizdelicious let change s0ulja b0y te em trend topic soulja girl tell em,neutral
birthday wednesday young feel old,worry
go barbeque maybe,neutral
go 2 watch dogtown hope not sad,worry
myjacksonbrowne hey wait final edit cover sombodys baby not wait input,worry
last night bad guy try enter garden alone really get scared feel really stupid not funny,sadness
download song httpplurk com p rp8wx,neutral
annagabbert not sound preachery anything iphone amazing not issue since 2 0 firmware wink wink,love
mlongman yes not follow,worry
mattjay hey round 1 round 2 next week,neutral
apperently ea know copy sim 3 not legit upset,anger
charitygant popularity contest think twitter help become trendy,neutral
lenos last show tonight like better conan,neutral
socialvibe facebook use myspace twitter hardly check facebook,neutral
brother 3 wander around house underwear charm 2 sister female guest sure,sadness
,worry
no keyboard cat dead year play keyboard cat,sadness
elizabethn not want ooze speak either lame joke wipe social medium shoe lol,empty
ok thunder scare,worry
hayleynewland good lad wear phil know 22 year seem like 5 minute haha ok hayley,neutral
brianjke drive automatically eject support disc ie cd r not boot disc time applecare,neutral
feel well today still sick,sadness
djspencer19 true think important 2 sensitive 2 relate 2 empathy reminder not judge book cover,worry
miraaaaa hahaha eat,happiness
techn1x fair enough actually not give x man mad max fine,neutral
work watch milk,neutral
new supernatural tonight,happiness
nunziobruno question oh not around tonight,surprise
omgosh see hattie wake must summer garden hedgehog come hibernation,neutral
beati3 move rod justin even persuade son join,enthusiasm
hollypop04 mmm holly,neutral
another excellent analogy,happiness
wendaybird silly wendy know not speak french hour study ride begin,happiness
watch goode family premiere online think may last episode watch pretty amazingly mediocre pass,hate
workin la bootay warm weather,enthusiasm
jdawg still wait email max consider no news bad news,worry
cattnip lol yeah guess point,relief
mzjennx uhh congrat two year anniversary,happiness
lyssiecc like positivity no may not change carr crazyb dog lady not math test x,worry
yrbook sign w evryone fun gna miss evrything,neutral
jareason legit legit cruise,neutral
good 1 km visible shoot td one show total decouple low mid level center system dead wait next one,hate
rymartinez good morning baby yes sleep like rock refresh ready anything hug not let go miss u,relief
balmeras weekend quiet plan new website today research choose hat coffee hat sound good though kettle,happiness
see star trek one word bombtastic go see not already p love jon cho haha,love
see no evil star wwe wrestler kane watch,happiness
happy mothers day x3 mum love,love
slightly less disturbed night good thing look forward quality time toadtastic boy,love
day nothing,sadness
exoticaleila lmao yea see atlpic yea try act like still atl lol,surprise
not go lie love ace cake wooop lose,fun
warn tweet rid bike dangero waaaaaaa crash,surprise
adneonheart oh god finally find someone online haha,happiness
haha aww ok back bionomial expansion ugh joy,sadness
go bed,neutral
also twitt follow us know late,happiness
mmmmmm late night bruster ice cream om nom nom nom,love
walk 3 inch heel end half size big leg still pull muscle not good look ass hurt 2day,neutral
back cycle 20 mile virtually traffic free road sun almost shine new pb great start day,love
go world education fair today whole different kind circus,happiness
whew move commercial sized freezer cooler lot work expect miss htc roundtable,neutral
dinner evening play card already pack ready head home tomorrow go home,neutral
mom call hospice 4 great gpa matter time god know,neutral
yea see really sad commercial,sadness
hellerrr new followerss tricina uhhm cool,happiness
elliottyamin new song amazing,surprise
erinhosborn thank legola betterlesson fellowship google wave like demoed 2 httptinyurl com ma6j6l mean disease,happiness
recent experience anything go fear may go indian food not good people not good,worry
rockdrool second wife,neutral
dazzlemethis ok sound goood hehe,love
kidkierain yeah sound bit bad man get fucking exam week week,worry
today good people friday attitude not good,worry
chrissligh sadden see feel need comment clay know not care lose one follower today,sadness
lell live not see great thing,worry
ivanae grrrrrrrrrrrrrr barely read,worry
fromhell beeeeaaaaatooooo,neutral
nearly fall asleep jolt bed massive panic attack not sure sleep,worry
finally work sub copy pikanichi heeeee,happiness
dawnofournight try not stranger,neutral
tired ready bed really mood salt pepper chicken wing noodle no money chinese,neutral
walk work think sit bellagio time wednesday,neutral
phone,neutral
song call steal soooo amazing dashboard confessional,happiness
house home alone play guitar guitar hero loud,love
problem must list write usually forget place 1st thing list find list,worry
feelin right rite,neutral
nothing evening miss lifestory,neutral
finally finish tec recipe card feel somewhat accomplished,love
heaven bryan adams,neutral
no ac fan not swing way sweat hot humid day,sadness
bgt dcd senior good not good enough,neutral
jacqueline47 long not go melt lol hubby umbrella set keep dry grill,relief
ugh work suck could sher right,love
askfrasco ooh fine ya know toooo late sorry dat,sadness
misssnoozer show awhile mine take hour,neutral
sos100 internet billing fee 30 13 country setup cost 5000 usa alone,worry
mmm much well day far still quite early last day uds,happiness
deniserichards man love sweetheart wife good mother long happy mothers day,love
enjoy mommy day,fun
thefuzzyblueone doctor laugh oh no no no drcrane patient arkham aslyum work,happiness
chillin bored drink margarita txt,neutral
officially celebrate 400th tweet wow proud great,happiness
musicalchilly thank u lady,happiness
markiti sweety sit table morning wake sweet oh btw think home around 7 pm xxx,love
midtownlunch load beard papas disappear uk,neutral
wish still cornwall miss auntie dog,sadness
see lot fb friend friende become fan zoozoo vodas new face pug even ilike,love
mothers day drama awesome,fun
wajeeha hope know due tuesday,worry
hey socialmediatv ugh no way video blah pout social medium tv live httpustre am2njv,sadness
chrystinagrace chrystina grace timberlake ring,neutral
wish go back lake weekend blast miss lil bro,sadness
thesims2 aww bbq not fair chocolate,hate
morning sun shine bird singe time cuppa garden read tweet httptwitpic com4ws9r,neutral
breatheprod maya kibbel not facebook myspace page,neutral
get home dinner really really full mom say dad buy sony a200k holyyyyyyy,happiness
trevorab aww poor dear awesome come race,worry
jennlovesm5 tdlq awwwww scifi geek starwar ten commandment us geek,neutral
dannymasterson miss 70 show,sadness
well last fab go,sadness
mother day good,worry
bradiewebbstack umm ok sound verry proud yourselff bubb,neutral
reggaeluv2000 haha great sleep horribly last night,worry
mcflyinggirl omg book soo funny,worry
caroljs warren die hannah kill gutte love warren even nasty,love
djknucklehead no water park today make jealous look pic,fun
wait denver game come not think go win laker suck lol p,sadness
awebdesigner lookin good mate,relief
run turtle,worry
today week 18 yiha,happiness
self portrait week httpunbecominglily blogspot com200905 announce html would like join,love
happy tiff not drop bio suffer nyayhahahah,happiness
well leave six flag not get ride want bummer maybe next time,worry
way nottingham not want go,worry
shit lose star trek ring starfleet academy class ring w golden gate bridge get high school graduation present,sadness
httptwitpic com4wbnd not worry let go name fishyyy,hate
go super long day,worry
kayleighstack wish could go not think allow p either way two show go bind get ticket,sadness
docdolly plurk account,neutral
not paint anymore light,worry
e3 2009 first time not get see g4tvs e3 coverage since comcast move g4 channel basic cable premium,worry
robertpwilkin leave alone hurt no run adter fianly shower wash paint,worry
super tired probably could sleep day work 1230 930 today tool rental oh joy,boredom
happy great glowy ravey beery night smokey pizzary night cool friend love liz x,love
artfuldodga love isakey usb stick 4 gb australia,sadness
make first skype landline call good call quality quite impressed,surprise
love smell roast oven thank sharnazzle idea,love
want borrow mx5 weekend,worry
porn store forget put dave ipod fail,sadness
hit christian head metal bat haha sock eye haha miss reckless little kid,surprise
ksymmonds lcaller sorry miss yes lazy bastard still not dress,surprise
onein36million hi upload 5 completely new chinese lesson www youtube com chineselearn please feel free watch enjoy,enthusiasm
thank new follower well go strip club tonight 4 follow tomorrow much love,love
girlusocrazy lol girl not stop student not afford 14 pop eyeshadow hook,happiness
morning finally get stream medium pc ps3 via wireless router much easy use usb dongle ah techy simplicity,relief
bella456 go inlaw tonight hopefully new niece need kid inlaw,happiness
lucyliz not worry not not get tv,empty
sleep work tomorrow,neutral
reaaaallly bore,empty
jasonwitmer not draw yet,love
saucewear btw shirt ship run stock one size order famous sorry,worry
hanster7705 yeah tragic need haircut,worry
kid go see without,neutral
hope mom like pamper gift send,empty
trinibwoy718 awww trini no esata bien bendito bad not fly make u feel well,empty
home invader take base,neutral
eliizaabeeth haha like modern study favourite subject haha guess not feel xx,neutral
good afternoon sort technical glitch rainy bh monday lazy day daughter menfolk round roast dinner,neutral
mishdance miss dance friend,worry
instal youtube downloader anyone know make trailer video,neutral
almost legal limit db garage,worry
kyleandjackieo green day boulevard break dream hinder lip angel howie day collide nice song,worry
think lot revision tomorrow woo hope sunny one,neutral
michaelmknight oh wish dear michael wish,worry
finish bit sketch write,neutral
super cool dream last night theellenshow ask danify show wooowww hope come true,happiness
jeffpulver book signing manchester nice people enjoy week,happiness
bet mumbai indians today anyone take bet 500 buck,worry
jenkellytisdale good luck haha love character bring win movie,sadness
jasonbradbury nice jet ski testing hope book go well cheer add get twitt watch gadget show,happiness
ggenung gable apartment corporate nice,neutral
asthma issue today bah,sadness
u ur dad lose mentaly dosent remeber,worry
sign mom day tomorrow,love
lisatayl stay great mother give cold flu leave still cough,sadness
not want go work tonight,worry
horoscopes website use change around like,happiness
russfischer man wish still live near drive perfect movie experience,worry
oh dear sunburn back,worry
donnanorgren oh begin long,neutral
kalediscope girl cry allergic seafood,sadness
bradiewebbstack haha like default picture meow,fun
thevowel ds version suck,sadness
keeleykerrin dear god hope save httpwww impossible project com,worry
okay not twitt anymore study ugh hate school jk thoroughly dislike,hate
mcherrywv yes know school report would say must much well ah well time huh httpmyloc thq,worry
alltimebritt not make sad think would jump joy,sadness
suck u 2 go would b piss 2,worry
hit leave conti boooooooo,happiness
sad rat become aggressive guinea pig seperate,worry
kill dill plant happen dill great suddenly dead httptinyurl com mlh4f5,worry
not think well time weekend,happiness
get sun,fun
guess 24 48 hour maintenance sad miss friend,worry
long day dancin travelin celebrate life happy mothers day,love
wake long sleep month nice get work preppe next wk free k come home tonight,neutral
abzquine oh source sleep bag,neutral
twitter stop dick let change background image imagine shiny nhl background,empty
shtoofi know feeling work much suck hardcore need hang soon,worry
foooood yummy whose wash dish not not rofl,happiness
ah tummy hurt damn starbucks sugar chocolate caffeine,hate
soooo bore not funny,worry
dan alli suprise,surprise
omg guy internet whole day still not work try fix 2,sadness
never around sl100 quiz want water park ticket waaaa,neutral
marci723 ohh yeah sometimes forget cheek ok america,neutral
scary cape guy,neutral
thekja finish listen last day krypton audio book love sad though,love
donnaspeak not know not even realize go let put darn twitter,worry
lakia unfortunately noy life suck year,hate
miss mcfly last night much front row centre danny make laugh much lol,happiness
yep one night,empty
squaringkarma thank,worry
cheeeks hurt bad happen,surprise
veritasunae hahahaha listen itunes library bit sonia dada atm good,neutral
whatever give phone die anyway next time,sadness
want scream damn phot not load guess default,worry
home whoott happy mothers day madre,neutral
httpsimoneserhan tumblr com new post,neutral
oh no use internal sig external e mail damn fb,sadness
marissa110 heyy finally get one oh good luck final today,sadness
irony inventor ford mustang not keep car httptinyurl com lpmvtk via jeffholton,sadness
darynjone youtube account,sadness
angelofmusic11 not toy story come june,sadness
predict feel lyk shit gahh hate bein ill wrk tweet lata xx,hate
crzyqbn awesome dude yay surprise celebrity get meet year ago soooo friendly,happiness
accord momsrise quarter family six live poverty,worry
currently play part list,happiness
suziebee123 yes dear opff bbl8r,sadness
arcania two hour set 600mile drive home mostly hope go quickly,worry
caseywright acai email yes ton,neutral
melodylealamb goooood morning melody wish wonderful mother day family,love
httptwitpic com670ar post guitar hero ass kicking,happiness
god hate scary movie not fun wimpy,hate
mrtomhill thank yoou twittertakeover,worry
tinyraisin deep disgusting would even take little help alas sense never happen,worry
finally find new flat,sadness
u verse blaze 25mbp not anything download though,neutral
dnkanais feel reeeally bad sorry,worry
miss taylor like crazy not wait till back,sadness
jaymckenney gosh sorry man hope good news,worry
one liner movie review httpbit ly18zd0k add,neutral
sad gmail chat die not help natalidelconte,worry
mariapaulaa know ahh fun,fun
gettin complex follower shrink want make 100 b4 sunday,sadness
new work come,worry
blacksilkblog hug not able shag crush anymore x,happiness
realsmoothieluv nope no love,worry
nice day work,happiness
feel like crap,sadness
tatylicious hey chick go ja pick hot guy eat jerk pork festival well already hot guy,happiness
die get hand diagnosis murder dvd boxset pesky kid amazon still not deliver zimbabwe,enthusiasm
monitor not turn work mother,worry
jacynthe c demain le lancement de chinatown pas mercredi,empty
new follower pretty cool tweep check em,happiness
long day family tire fun,happiness
not lyk othaa gurrrrrl not lyk jonas brothers kristi,neutral
devastate set alarm 9 30forgot turn 7 30 alarm get 7 30 shower think 9 30i full fool,surprise
catch dvd rent blockbuster com yesterday crack figure 35 minute movie,anger
shanselman httptwitpic com4ve84 wow nice laptop,surprise
bummer macbook bug mac head want lend help hand,neutral
muffin muffin delicious muffin neat no muffin eat,love
n3rin3 ur pic go,neutral
hate get waste,hate
keza34 lol fine long not scary dude good,fun
lauraleeshaw try pei wei close not try,worry
hook,enthusiasm
livefashion lol not gross gross,worry
not seem access restuarant city due internet javascript problem,neutral
sega small not choose,worry
london,worry
mrstephens85 hahahaha awww uduhn lun no mor,fun
caitlingray lol hopefully happen like next timee near new album,fun
watch say anything great 80 movie starting point love john cusack,love
buzz,neutral
good morning world,happiness
seattlewillow well work leah may something embry,sadness
poor balcony sealer guy stick rain httpmypict me20oh,worry
emeraldashlee yea say brookes go come record today chanicedevonne,worry
weekend begin get idea project think would cool not sure get time right,worry
catwoman123 good one,worry
voye mtv movie award mostly twilight slumdog httpis gd wbt6,worry
goodnight ps thank jailbreake ipod stacie 3,happiness
cathyah love go one new fave quote,love
princ3sskrys10 lmao never meet anyone like caramel much,sadness
slickiris video not available us foreigner,neutral
bdillustrated hard argue w ecause make great point not wrap heart around one,happiness
lilemoboi like goo goo doll hear iris absolutely love,love
could kill hollyoaks make sad,sadness
sit wait go gym almost leave realize never charge ipod trip wisconsin dead,neutral
go eastgarden see lot hillsong pastor go nick dinner not wait talk soon sherrymacs,happiness
drewave least make,relief
sweetemmaxxx yeeh also thing drummer basically guy 2 play instrument sing p,happiness
j sorry bad night hopefully workout update give little humor night,worry
eightwednesday emilyhilleren lose membership get boost 3 club lonely,sadness
poker night instead kate voegele guess,fun
httptwitpic com67di2 mean say skin terrible plus sunburnt chest,worry
naeemcoza strandloper yep live learn,relief
morning bank holiday monday sun go typical hospital knee 230 train 6 another bust day,hate
eyyjd hear dad would go september would also come,surprise
morrgaan oh no week bad one everyone love pretty face go fantastic concert tonight,sadness
omg luat examenul la spss happy,surprise
get vote hot guy yearrrr thomasfiss,fun
charlieskie actually well name fluffballthegodzilla youtube username beat,sadness
johnnydeppnew back make u lil something,enthusiasm
ilovedarkedward go get em lol,neutral
itsq lmao smh one throw,happiness
pick luna vet look like cry not kid lash wet tear trail poor bebe,worry
lastoadri maybe start arabic teaching podcast,neutral
hey guy nm half bored,sadness
wish smartphone irc app would pretty cool,worry
scullyrific hell yeah,fun
mercuriosjewel wonderful trip read 4 twilight novel completely consume engross kinda sad,sadness
change plan not see today,worry
stephatticus thank,happiness
use ozzy osbourne pillow face mom throw miss thing,worry
great time kc httptwitpic com4w3fi,happiness
juliankimme never touch drop,neutral
saraluna everything doni12 know explain simply iti12s patetic,sadness
7 pm fri night sit home alone,sadness
head schoool go good day knoww,happiness
mrsmcflygrimmy day boredom stick head,empty
watch master chef,neutral
kinda may chickene,relief
lol kittykatmakeup whisper not get trouble almost 30 feel great home feeling like kid,relief
first sleep spend day mom since mother day may even chinese,happiness
could update status one place,worry
not believe someone smash car window steal laptop obviously not mum,surprise
mariahcarey happy mothers day ms pat carey,happiness
hungover,worry
morning lovely day last,love
funkysteph thank hope great rest day afternoon coffee yet,love
sirgarde hott africa lol yeah hot big storm,worry
katiealender ooh two book buy,neutral
mrskutcher happy mothers day,love
dang really look like crap sigh 35min shower 10min get ready,hate
go go watch jackson band play go band party,neutral
summer glau appear dollhouse next year httptinyurl com mnrezc still not believe not renew tscc,surprise
i12anisalovesu upset especially fear not get jar hug tomorrow,hate
puzzle people mood swing make somewhat sad not pinpoint feel,sadness
guess much hope nice relax mother day happy mothers day mommy,love
nomand use wordpress instead,neutral
make sure u pick chrisette michele new album epiphany store tomorrow may 5th love promise congrat epiphanygirl,relief
jenifel aww thank indeed graduate friday 4 final stand freedom teach america law school,relief
cre8tivesin sarcasm need pj fly hotspot party fly home work next day,worry
mitch4103 online even log habbo,hate
nku get app,worry
heylushh haha tooooo miss havnt see age,sadness
kanoaofgomega love go kanoa sorry loss dear,sadness
watch kill bill vol 1 love movie much,worry
woo hoo friday wait work clean tomorrow,sadness
greenville one last time ct06873 move md soon back eastern carolina,neutral
omg see tweet miss bonnie amazing phone die yesterday oster alltel miss,surprise
think need follower still warm go cinema later c night museum2,neutral
lmcreation yes monday hard hope great day opportunity get point sun,empty
loaricardo road movie indie rule haha,fun
really wanna go australia england,neutral
omg star war day may fourth everyone call watch least 1 film tonight,fun
lickasha sorry 19 female atl lonely,neutral
chillin loooonnnggg day basketball hella tired sleepy time zzzz,worry
not ever weigly north avoid drive home,hate
artistiquemeg wooohooo fourth row back,happiness
something totally eat broc cab bean insecticidal soap not get rid pest not want chemical,neutral
today not day not seem feel well not eat hungry eat feel like go sick blah,sadness
say still dream nikon d60 errr eat kuya please lang huhuh httpplurk com p wxrx5,sadness
long day office tire week,sadness
bgt aw bless stomach sink first whimper good try carry nice simon take charge,happiness
finally shift twhirl tweetdeck filter close friend update happy monday peep,surprise
nicobyrne miss se asia come visit us time,worry
owww think tear something leg,sadness
augusten ha ha really funny,fun
queenofspain good night erin would not say early old,happiness
rachel go lunch baixa lot stuff wanna come,neutral
lindseyyx3 think x3 confuse not believe many peep know heart,worry
odangitsnikki way around 72 minute limit aim tell,love
not happy go lucky today world not feel ugly,neutral
humarashid aww cute like song lot,love
ugh go 2 new phone screen black mean no texting,sadness
play volleyball,empty
money laundering tip 5 sell business construct hotel etc take possession clean money,empty
bus want go home,worry
check idestroy sale sale good,relief
although technically major project get something communal theory always come massive awful,neutral
awesome everyone go see stupid theatre not show pixar short film,enthusiasm
innolab yes article write blog ago,neutral
doctor appt,neutral
chillin bbq gettin drink,relief
bofu2u good mornin ya,relief
havingmysay dude favorite sandwich place ever ummm take picture,happiness
kirstiealley would not reply gorgeous hot pink shoe,sadness
song come goodbye stick head not good song singe consider situation,worry
suzyqbee10 tell big head,neutral
welcome cimmarongirl proud,happiness
maritessdeleon aww tessy wanna hug,love
happy mothers day mom lady cool love u,love
littletiara aha bet cute wear nu time cn show mine u cn show,fun
think drink water hey free,surprise
filmfinanci cowboy western not see good luck,love
aceartemis7 well nothing give pen,happiness
feel sick probably summer flu,worry
biggboymgmt alright alright tune take note remember say get spot raise handz,worry
get go get ready go meadowhall not believe internet break yesterday gutte,love
everyonesmad pretty least think need catch sleep soon though,neutral
robertsprigge keen skydiver take thousand time plane rarely land,fun
feel like watch disney movie bad not vcr anymore,sadness
rnconsult alarm watch pill name display function alzheimer patients w b key hear alarm ask noise,neutral
leeprovoost thank tip company laptop aim another solution actually,happiness
first surprise birthday ever good night damn long time,surprise
andrewapuya hey hey andrew haha p well happy mother day mum,worry
go dinner bbs,happiness
zapatos trashcan nachos epic night,happiness
artofcarbo surely know hand good book hand hold essential no psp unless charger,love
ohcea nope,neutral
hello twitter,neutral
jonasbrothersox umm nope not anymoree,neutral
jackalltimelow oh mannn go tomorroww,neutral
not feelin well feel sooooo weak hate bein sick summer,sadness
mower shopping,sadness
law order yeah stay home sat nite,happiness
therealyungberg u say u go follow nita ur live chat,neutral
throat hurt not sleep,worry
inspire blog something inspirational haha,neutral
happy mothers day mother,love
teleject grrrrrrrr,worry
happy mothers day feliz dia delas madre mine already heaven miss,sadness
